n,p,time
10,0.5,0.00015216699999998085
10,0.5,0.0001353750000000209
10,0.5,0.00014458300000000368
10,0.5,0.00015483400000002034
10,0.5,0.00013924999999997967
10,0.5,0.00013704200000000388
10,0.5,0.00017466700000001723
10,0.5,0.0001405419999999935
10,0.5,0.0001364169999999998
10,0.5,0.00015550000000000286
10,0.5,0.00014037499999999814
10,0.5,0.00015041699999998603
10,0.5,0.0001457079999999944
10,0.5,0.0001420829999999873
10,0.5,0.00013995799999999559
10,0.5,0.0001459580000000016
10,0.5,0.00013891700000001617
10,0.5,0.00014337500000000114
10,0.5,0.0001521670000000086
10,0.5,0.00015975000000001405
10,0.5,0.00015524999999999567
10,0.5,0.00015741699999999303
10,0.5,0.00014133399999999297
10,0.5,0.0001383750000000239
10,0.5,0.00013233300000001225
10,0.5,0.00014083300000000687
10,0.5,0.00013666599999997975
10,0.5,0.0001456660000000165
10,0.5,0.00013949999999998686
10,0.5,0.00015120900000001325
20,0.5,0.0003979170000000254
20,0.5,0.00033904199999998386
20,0.5,0.0003349579999999963
20,0.5,0.0003502499999999964
20,0.5,0.0003257910000000197
20,0.5,0.0003591249999999879
20,0.5,0.00033591699999999114
20,0.5,0.00036470799999999137
20,0.5,0.0003535830000000184
20,0.5,0.00035870800000001313
20,0.5,0.00036779200000000567
20,0.5,0.000359540999999991
20,0.5,0.0003641669999999986
20,0.5,0.0003579590000000188
20,0.5,0.00048020800000000974
20,0.5,0.0003923329999999947
20,0.5,0.00037349999999999883
20,0.5,0.00038033400000000994
20,0.5,0.00036058299999999766
20,0.5,0.0003509999999999902
20,0.5,0.0003712090000000112
20,0.5,0.0003472499999999934
20,0.5,0.0003432080000000115
20,0.5,0.0003441250000000007
20,0.5,0.00034425000000001815
20,0.5,0.0003648329999999811
20,0.5,0.0003512089999999912
20,0.5,0.00034316600000000586
20,0.5,0.00033937500000000287
20,0.5,0.0003319170000000149
40,0.5,0.0010249579999999925
40,0.5,0.0010958330000000183
40,0.5,0.0011352499999999766
40,0.5,0.0009588329999999923
40,0.5,0.001133917000000012
40,0.5,0.001047832999999998
40,0.5,0.0010070420000000135
40,0.5,0.0010165829999999876
40,0.5,0.0009604589999999968
40,0.5,0.001128749999999984
40,0.5,0.00108108400000001
40,0.5,0.0009994999999999865
40,0.5,0.0010816250000000027
40,0.5,0.0010874999999999913
40,0.5,0.0011170830000000187
40,0.5,0.0012675000000000047
40,0.5,0.0010437080000000043
40,0.5,0.000826832999999999
40,0.5,0.0009900000000000186
40,0.5,0.0010210419999999998
40,0.5,0.0009747499999999965
40,0.5,0.0010324159999999805
40,0.5,0.001010749999999977
40,0.5,0.0010360420000000148
40,0.5,0.0010591250000000219
40,0.5,0.001017708000000006
40,0.5,0.0012395829999999886
40,0.5,0.0010503330000000144
40,0.5,0.001009374999999979
40,0.5,0.0010426249999999915
50,0.5,0.00149329099999998
50,0.5,0.001451332999999999
50,0.5,0.0014844159999999884
50,0.5,0.0015522079999999994
50,0.5,0.0017830830000000186
50,0.5,0.0015043750000000022
50,0.5,0.001492166000000017
50,0.5,0.0014793749999999495
50,0.5,0.0014297920000000408
50,0.5,0.0014794160000000112
50,0.5,0.0015137909999999866
50,0.5,0.0014372910000000072
50,0.5,0.00177395800000002
50,0.5,0.0014916660000000026
50,0.5,0.0014624159999999664
50,0.5,0.001535665999999991
50,0.5,0.0014077499999999854
50,0.5,0.001556541999999994
50,0.5,0.0015407910000000413
50,0.5,0.001521125000000012
50,0.5,0.0016593750000000185
50,0.5,0.001497582999999969
50,0.5,0.0013265000000000082
50,0.5,0.0015162919999999747
50,0.5,0.0014319999999999888
50,0.5,0.001367041999999985
50,0.5,0.001465333000000013
50,0.5,0.0014852089999999873
50,0.5,0.0014205840000000025
50,0.5,0.0014428329999999767
100,0.5,0.005064167000000008
100,0.5,0.005246417000000003
100,0.5,0.005395582999999982
100,0.5,0.004928292000000001
100,0.5,0.0052039580000000085
100,0.5,0.004845375000000041
100,0.5,0.004849833000000026
100,0.5,0.005274457999999982
100,0.5,0.0049652089999999705
100,0.5,0.005213250000000003
100,0.5,0.005160624999999974
100,0.5,0.005079290999999986
100,0.5,0.005158916999999985
100,0.5,0.005181082999999975
100,0.5,0.005166999999999977
100,0.5,0.005234542000000009
100,0.5,0.0050932919999999715
100,0.5,0.005246707999999989
100,0.5,0.005187083000000037
100,0.5,0.005286542000000005
100,0.5,0.005033916999999999
100,0.5,0.005379208999999996
100,0.5,0.0054155000000000175
100,0.5,0.00525541700000004
100,0.5,0.005483083
100,0.5,0.005255834000000015
100,0.5,0.005272999999999972
100,0.5,0.005132916000000043
100,0.5,0.005331249999999954
100,0.5,0.005190874999999928
200,0.5,0.019730749999999908
200,0.5,0.01905016699999995
200,0.5,0.019767250000000014
200,0.5,0.019167792000000072
200,0.5,0.019424125000000014
200,0.5,0.01933929099999998
200,0.5,0.01945333299999996
200,0.5,0.01927924999999997
200,0.5,0.019064583000000024
200,0.5,0.019224458000000055
200,0.5,0.018771333
200,0.5,0.019076082999999966
200,0.5,0.01909649999999996
200,0.5,0.018661333000000058
200,0.5,0.01878895799999991
200,0.5,0.018996542000000005
200,0.5,0.019594082999999984
200,0.5,0.01943154200000008
200,0.5,0.01907324999999993
200,0.5,0.01913441700000007
200,0.5,0.019186292000000105
200,0.5,0.019368709000000095
200,0.5,0.019027040999999967
200,0.5,0.018783499999999842
200,0.5,0.018498792000000153
200,0.5,0.019421791000000077
